2023-Jun-04 20:35:37:484 PM INFO  BridgeDemo - Tests with basic remote.
2023-Jun-04 20:35:37:494 PM INFO  BasicRemote - Remote: power toggle
2023-Jun-04 20:35:37:494 PM INFO  Tv - ------------------------------------
2023-Jun-04 20:35:37:495 PM INFO  Tv - | I'm TV set.
2023-Jun-04 20:35:37:495 PM INFO  Tv - | I'm enabled
2023-Jun-04 20:35:37:495 PM INFO  Tv - | Current volume is 30%
2023-Jun-04 20:35:37:496 PM INFO  Tv - | Current channel is 1
2023-Jun-04 20:35:37:496 PM INFO  Tv - ------------------------------------

2023-Jun-04 20:35:37:496 PM INFO  BridgeDemo - Tests with advanced remote.
2023-Jun-04 20:35:37:504 PM INFO  BasicRemote - Remote: power toggle
2023-Jun-04 20:35:37:505 PM INFO  AdvancedRemote - Remote: mute
2023-Jun-04 20:35:37:505 PM INFO  Tv - ------------------------------------
2023-Jun-04 20:35:37:505 PM INFO  Tv - | I'm TV set.
2023-Jun-04 20:35:37:505 PM INFO  Tv - | I'm disabled
2023-Jun-04 20:35:37:506 PM INFO  Tv - | Current volume is 0%
2023-Jun-04 20:35:37:506 PM INFO  Tv - | Current channel is 1
2023-Jun-04 20:35:37:506 PM INFO  Tv - ------------------------------------

